Unnamed: 0,casa,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,consumo,custo_min,custo_med,custo_max,target,conf_min,conf_med,conf_max,t_med,temp,umidade,humor,omega,rel_alt
2023-01-21 00:01:57,57,ToU,0.5,Fuzzy,Padrão A,1.15,1.2,1.26,0.031,16.4,11.8,13.6,15.5,15.8,0.92,0.95,0.97,2.42,8.5,11.9,9.6,0.16,1
2023-01-21 00:01:58,58,ToU,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0029,4.86,3.79,4.0,4.11,4.04,0.96,0.98,0.99,0.0846,23.4,90.3,3.1,0.63,1
2023-01-21 00:01:59,59,ToU,1.0,Fuzzy,Padrão B,0.925,1.03,1.11,0.057,14.5,12.2,13.3,14.8,13.8,0.5,0.71,0.84,0.757,39.1,51.6,0.6,0.84,1
2023-01-21 00:02:00,60,ToU,1.0,Fuzzy,Padrão A,1.07,1.15,1.24,0.05,16.4,12.0,13.3,14.6,15.8,0.93,0.94,0.96,2.34,6.3,13.3,2.1,0.16,1
2023-01-21 00:02:01,61,ToU,0.25,No_fuzzy,Padrão C,1.21,1.22,1.23,0.0077,4.86,3.59,3.74,4.06,4.04,0.94,0.96,0.99,0.0918,1.2,27.9,1.7,0.16,0
2023-01-21 00:02:02,62,ToU,1.0,No_fuzzy,Padrão C,0.988,1.07,1.11,0.041,4.86,3.59,3.74,4.09,4.04,0.93,0.96,0.98,0.0877,21.2,75.3,7.0,0.18,0
2023-01-21 00:02:03,63,ToU,0.5,Fuzzy,Padrão B,1.08,1.15,1.19,0.025,14.5,12.2,13.2,14.8,13.8,0.82,0.89,0.95,0.83,14.3,2.7,2.0,0.38,1
2023-01-21 00:02:04,64,ToU,0.75,No_fuzzy,Padrão A,1.07,1.17,1.25,0.047,16.4,11.8,13.5,15.5,15.8,0.74,0.82,0.89,2.67,32.6,83.0,7.1,0.6,0
2023-01-21 00:02:05,65,ToU,0.75,Fuzzy,Padrão B,1.0,1.09,1.15,0.042,14.5,12.2,13.3,14.8,13.8,0.73,0.85,0.93,0.703,23.9,58.1,6.5,0.44,1
2023-01-21 00:02:06,66,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.59,3.73,4.11,4.04,0.93,0.96,0.98,0.0953,28.8,11.3,5.0,0.53,0
2023-01-21 00:02:07,67,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,12.2,13.2,14.5,13.8,0.48,0.7,0.82,0.718,1.6,93.1,6.5,0.17,0
2023-01-21 00:02:08,68,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.59,3.73,4.11,4.04,0.93,0.96,0.98,0.0955,25.4,28.6,6.2,0.48,0
2023-01-21 00:02:09,69,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,12.2,13.2,14.5,13.8,0.48,0.7,0.82,0.722,38.6,5.4,5.2,0.66,0
2023-01-21 00:02:10,70,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.59,3.73,4.11,4.04,0.93,0.96,0.98,0.0964,34.8,5.2,2.1,0.84,0
2023-01-21 00:02:11,71,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,12.2,13.2,14.5,13.8,0.48,0.7,0.82,0.738,20.8,75.5,1.2,0.59,0
2023-01-21 00:02:12,72,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.59,3.73,4.11,4.04,0.93,0.96,0.98,0.0931,11.7,19.4,8.3,0.16,0
2023-01-21 00:02:13,73,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,12.2,13.2,14.5,13.8,0.48,0.7,0.82,0.723,7.9,0.6,2.6,0.16,0
2023-01-21 00:02:14,74,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.59,3.73,4.11,4.04,0.93,0.96,0.98,0.0929,7.1,32.9,1.4,0.16,0
2023-01-21 00:02:15,75,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,12.2,13.2,14.5,13.8,0.48,0.7,0.82,0.718,5.8,83.9,7.8,0.16,0
2023-01-21 00:02:16,76,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.59,3.73,4.11,4.04,0.93,0.96,0.98,0.0948,34.3,75.6,0.6,0.84,0
2023-01-21 00:02:17,77,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,12.2,13.2,14.5,13.8,0.48,0.7,0.82,0.72,0.4,88.1,6.1,0.16,0
2023-01-21 00:02:18,78,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.59,3.73,4.11,4.04,0.93,0.96,0.98,0.095,4.0,57.7,1.9,0.16,0
2023-01-21 00:02:19,79,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,12.2,13.2,14.5,13.8,0.48,0.7,0.82,0.716,30.1,86.9,7.1,0.55,0
2023-01-21 00:02:20,80,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.59,3.73,4.11,4.04,0.93,0.96,0.98,0.0927,3.4,15.0,9.8,0.16,0
2023-01-21 00:02:21,81,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,12.2,13.2,14.5,13.8,0.48,0.7,0.82,0.725,31.1,58.7,5.8,0.56,0
2023-01-21 00:02:22,82,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.59,3.73,4.11,4.04,0.93,0.96,0.98,0.0952,13.4,18.0,0.6,0.33,0
2023-01-21 00:02:23,83,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,12.2,13.2,14.5,13.8,0.48,0.7,0.82,0.725,3.1,34.7,1.3,0.16,0
2023-01-21 00:02:24,84,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.59,3.73,4.11,4.04,0.93,0.96,0.98,0.0951,0.2,33.1,1.5,0.16,0
2023-01-21 00:02:25,85,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,12.2,13.2,14.5,13.8,0.48,0.7,0.82,0.727,38.1,50.2,2.3,0.84,0
2023-01-21 00:02:26,86,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.59,3.73,4.11,4.04,0.93,0.96,0.98,0.0966,5.5,41.7,2.0,0.16,0
2023-01-21 00:02:27,87,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,12.2,13.2,14.5,13.8,0.48,0.7,0.82,0.716,30.6,17.7,2.2,0.71,0
2023-01-21 00:02:28,88,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.59,3.73,4.11,4.04,0.93,0.96,0.98,0.0951,40.2,3.7,1.4,0.84,0
2023-01-21 00:02:29,89,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,12.2,13.2,14.5,13.8,0.48,0.7,0.82,0.715,40.9,0.9,3.8,0.66,0
2023-01-21 00:02:30,90,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.59,3.73,4.11,4.04,0.93,0.96,0.98,0.0974,28.0,15.9,3.4,0.56,0
2023-01-21 00:02:31,91,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,12.2,13.2,14.5,13.8,0.48,0.7,0.82,0.721,18.8,6.0,6.3,0.23,0
2023-01-21 00:02:32,92,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.59,3.73,4.11,4.04,0.93,0.96,0.98,0.0929,39.0,1.9,0.4,0.84,0
