,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,custo_med,target,econ,conf_med,t_med
149,ToU,1.0,No_fuzzy,L1,0.943,1.13,1.22,0.068,13.7,15.8,13.37%,80.20%,2.2
150,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0035,12.7,12.7,-0.00%,95.55%,0.63
151,ToU,1.0,Fuzzy,L3,0.948,1.03,1.11,0.051,13.3,13.8,3.16%,93.75%,0.683
152,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0047,12.7,12.7,-0.00%,95.59%,0.565
153,ToU,0.0,No_fuzzy,L2,1.14,1.22,1.26,0.028,14.2,13.8,-3.26%,77.30%,0.814
154,ToU,0.25,Fuzzy,L3,1.18,1.21,1.23,0.015,13.1,13.8,4.85%,94.35%,0.71
155,Fixa,0.0,No_fuzzy,L2,1.15,1.22,1.27,0.028,12.7,12.7,-0.00%,77.54%,0.763
156,Fixa,0.0,Fuzzy,L3,1.25,1.27,1.28,0.0073,12.7,12.7,-0.00%,94.46%,0.491
157,ToU,0.75,Fuzzy,L3,0.998,1.1,1.15,0.043,13.2,13.8,3.88%,94.47%,0.813
158,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0047,12.7,12.7,-0.00%,95.68%,0.512
159,ToU,0.25,No_fuzzy,L3,1.11,1.17,1.2,0.026,13.5,13.8,1.88%,74.92%,0.708
160,Fixa,0.0,No_fuzzy,L1,1.22,1.25,1.27,0.01,14.3,14.3,0.00%,86.12%,2.29
161,Fixa,0.0,No_fuzzy,L3,1.17,1.22,1.26,0.024,12.7,12.7,-0.00%,77.98%,0.845
162,ToU,0.0,No_fuzzy,L1,1.22,1.25,1.26,0.0091,15.0,15.8,4.87%,87.02%,2.32
163,Fixa,0.0,No_fuzzy,L3,1.17,1.23,1.25,0.02,12.7,12.7,-0.00%,80.41%,0.917
164,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0029,14.3,14.3,0.00%,95.87%,1.77
165,Fixa,0.0,No_fuzzy,L3,1.15,1.23,1.26,0.024,12.7,12.7,-0.00%,80.79%,0.89
166,Fixa,0.0,Fuzzy,L2,1.25,1.27,1.28,0.0053,12.7,12.7,-0.00%,94.78%,0.578
167,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0063,12.7,12.7,-0.00%,95.21%,0.599
168,ToU,0.75,Fuzzy,L3,1.03,1.1,1.15,0.036,13.2,13.8,3.93%,94.29%,0.717
169,ToU,0.5,No_fuzzy,L2,1.06,1.13,1.18,0.032,13.1,13.8,5.18%,73.82%,0.628
170,Fixa,0.0,No_fuzzy,L2,1.14,1.22,1.26,0.024,12.7,12.7,-0.00%,77.69%,0.894
171,Fixa,0.0,Fuzzy,L3,1.25,1.27,1.28,0.0061,12.7,12.7,-0.00%,94.88%,0.486
