,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,custo_med,target,econ,conf_med,t_med
525,ToU,0.25,Fuzzy,L1,1.21,1.24,1.26,0.012,13.6,15.8,13.69%,94.54%,2.39
526,ToU,0.25,No_fuzzy,L2,1.12,1.17,1.21,0.021,13.3,13.8,3.71%,76.93%,0.755
527,Fixa,0.0,Fuzzy,L1,1.26,1.27,1.28,0.0031,14.3,14.3,0.00%,95.32%,1.78
528,Fixa,0.0,No_fuzzy,L1,1.22,1.25,1.26,0.01,14.3,14.3,0.00%,86.89%,2.18
529,Fixa,0.0,Fuzzy,L3,1.25,1.27,1.28,0.0067,12.7,12.7,-0.00%,94.76%,0.491
530,ToU,0.5,No_fuzzy,L1,1.14,1.18,1.24,0.028,13.7,15.8,13.20%,82.02%,2.63
531,ToU,0.5,Fuzzy,L1,1.14,1.21,1.26,0.033,13.4,15.8,14.84%,94.29%,2.16
532,ToU,0.5,Fuzzy,L2,1.1,1.15,1.19,0.027,13.3,13.8,3.19%,94.48%,0.545
533,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0049,12.7,12.7,-0.00%,94.61%,0.485
534,ToU,1.0,No_fuzzy,L1,1.03,1.16,1.25,0.06,13.2,15.8,16.36%,81.77%,2.24
535,ToU,0.75,No_fuzzy,L3,0.999,1.08,1.14,0.047,13.2,13.8,3.98%,70.26%,0.752
536,Fixa,0.0,No_fuzzy,L2,1.17,1.22,1.27,0.025,12.7,12.7,-0.00%,75.28%,0.825
537,ToU,0.0,No_fuzzy,L3,1.15,1.23,1.26,0.024,14.3,13.8,-4.14%,79.12%,0.869
538,Fixa,0.0,No_fuzzy,L1,1.22,1.25,1.26,0.01,14.3,14.3,0.00%,86.36%,2.27
539,ToU,0.0,No_fuzzy,L3,1.16,1.23,1.26,0.024,14.0,13.8,-1.56%,79.22%,0.828
540,ToU,0.5,Fuzzy,L3,1.11,1.15,1.19,0.02,13.3,13.8,3.19%,93.53%,0.573
541,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0041,12.7,12.7,-0.00%,96.06%,0.659
542,Fixa,0.0,Fuzzy,L3,1.25,1.27,1.28,0.0065,12.7,12.7,-0.00%,95.31%,0.528
543,Fixa,0.0,No_fuzzy,L2,1.18,1.22,1.25,0.019,12.7,12.7,-0.00%,78.26%,0.824
544,ToU,1.0,Fuzzy,L1,1.05,1.16,1.25,0.052,13.2,15.8,16.01%,94.42%,2.54
545,ToU,1.0,Fuzzy,L1,1.05,1.14,1.24,0.05,13.6,15.8,13.74%,94.57%,2.37
546,ToU,1.0,No_fuzzy,L1,0.953,1.15,1.25,0.069,13.4,15.8,14.97%,81.64%,2.5
547,ToU,1.0,Fuzzy,L3,0.912,1.03,1.11,0.051,13.3,13.8,3.35%,93.49%,0.772
548,ToU,1.0,Fuzzy,L1,0.965,1.13,1.22,0.06,13.7,15.8,13.34%,94.19%,2.05
549,ToU,0.0,No_fuzzy,L1,1.22,1.25,1.26,0.01,14.8,15.8,6.05%,86.96%,2.28
550,ToU,1.0,Fuzzy,L3,0.972,1.05,1.11,0.043,13.1,13.8,4.92%,94.00%,0.791
551,ToU,0.25,Fuzzy,L1,1.2,1.24,1.27,0.015,13.3,15.8,15.47%,94.82%,2.54
552,ToU,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0061,14.2,13.8,-3.19%,94.86%,0.537
553,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0047,12.7,12.7,-0.00%,95.41%,0.556
554,ToU,0.75,No_fuzzy,L3,1.01,1.07,1.14,0.037,13.3,13.8,3.16%,71.21%,0.787
555,Fixa,0.0,No_fuzzy,L2,1.14,1.22,1.26,0.028,12.7,12.7,-0.00%,77.14%,0.876
556,ToU,0.75,Fuzzy,L1,1.1,1.18,1.25,0.033,13.5,15.8,14.58%,94.56%,2.28
557,Fixa,0.0,No_fuzzy,L1,1.23,1.25,1.26,0.0098,14.3,14.3,0.00%,87.32%,2.17
558,ToU,0.0,Fuzzy,L3,1.26,1.27,1.28,0.005,13.9,13.8,-1.26%,95.33%,0.555
559,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0056,12.7,12.7,-0.00%,94.75%,0.503
560,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0047,12.7,12.7,-0.00%,95.68%,0.531
561,Fixa,0.0,No_fuzzy,L3,1.14,1.21,1.26,0.031,12.7,12.7,-0.00%,74.46%,0.765
562,ToU,1.0,Fuzzy,L3,0.943,1.03,1.11,0.041,13.4,13.8,2.94%,93.45%,0.647
563,ToU,0.25,No_fuzzy,L2,1.1,1.17,1.21,0.028,13.4,13.8,2.87%,74.89%,0.763
564,ToU,0.5,No_fuzzy,L2,1.04,1.12,1.16,0.027,13.4,13.8,2.96%,71.62%,0.831
565,ToU,0.75,No_fuzzy,L2,1.0,1.09,1.14,0.036,13.0,13.8,5.59%,73.99%,0.818
566,ToU,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0027,15.2,15.8,3.70%,95.65%,1.92
567,ToU,0.25,No_fuzzy,L2,1.11,1.17,1.21,0.026,13.5,13.8,2.23%,74.84%,0.792
568,ToU,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0047,14.2,13.8,-3.38%,95.31%,0.615
569,Fixa,0.0,No_fuzzy,L3,1.16,1.22,1.27,0.028,12.7,12.7,-0.00%,77.90%,0.928
570,ToU,0.25,No_fuzzy,L1,1.19,1.22,1.24,0.013,13.5,15.8,14.38%,84.21%,2.51
571,Fixa,0.0,No_fuzzy,L3,1.16,1.22,1.26,0.023,12.7,12.7,-0.00%,77.35%,0.792
572,ToU,0.25,Fuzzy,L2,1.18,1.21,1.23,0.016,13.1,13.8,4.85%,94.19%,0.633
573,ToU,0.0,No_fuzzy,L2,1.17,1.23,1.26,0.019,14.0,13.8,-1.50%,79.38%,0.9
574,Fixa,0.0,No_fuzzy,L1,1.21,1.25,1.26,0.013,14.3,14.3,0.00%,85.97%,2.15
575,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0027,14.3,14.3,0.00%,95.99%,2.13
576,ToU,0.75,No_fuzzy,L3,1.01,1.09,1.14,0.039,13.1,13.8,4.81%,71.82%,0.838
577,ToU,0.25,Fuzzy,L3,1.18,1.21,1.23,0.014,13.4,13.8,2.96%,94.76%,0.66
578,ToU,0.0,No_fuzzy,L2,1.17,1.23,1.26,0.021,14.1,13.8,-2.46%,78.85%,0.752
579,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0054,12.7,12.7,-0.00%,94.28%,0.553
580,ToU,0.5,Fuzzy,L1,1.15,1.21,1.25,0.029,13.5,15.8,14.03%,94.53%,2.37
581,ToU,0.5,Fuzzy,L1,1.16,1.21,1.25,0.026,13.4,15.8,14.96%,94.71%,2.35
582,Fixa,0.0,No_fuzzy,L3,1.17,1.23,1.26,0.025,12.7,12.7,-0.00%,78.96%,0.937
583,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0054,12.7,12.7,-0.00%,95.41%,0.554
584,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0028,14.3,14.3,0.00%,95.46%,1.82
585,ToU,0.0,No_fuzzy,L1,1.22,1.25,1.26,0.01,15.0,15.8,4.68%,86.44%,2.27
586,Fixa,0.0,No_fuzzy,L2,1.15,1.22,1.26,0.024,12.7,12.7,-0.00%,76.93%,0.685
587,ToU,0.5,No_fuzzy,L1,1.12,1.19,1.24,0.035,13.6,15.8,13.76%,82.36%,2.44
588,ToU,1.0,Fuzzy,L3,0.899,1.03,1.11,0.049,13.4,13.8,3.03%,93.10%,0.579
589,ToU,0.0,Fuzzy,L3,1.25,1.27,1.28,0.0054,14.0,13.8,-1.81%,95.34%,0.569
590,ToU,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0059,14.1,13.8,-2.44%,95.43%,0.524
591,ToU,1.0,No_fuzzy,L1,1.02,1.16,1.25,0.05,13.3,15.8,15.89%,81.94%,2.22
592,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0052,12.7,12.7,-0.00%,94.68%,0.554
593,ToU,0.5,Fuzzy,L3,1.11,1.15,1.19,0.025,13.2,13.8,4.04%,93.87%,0.659
594,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0023,14.3,14.3,0.00%,95.55%,1.76
595,Fixa,0.0,No_fuzzy,L3,1.15,1.21,1.25,0.027,12.7,12.7,-0.00%,74.78%,0.821
596,ToU,0.5,No_fuzzy,L2,1.05,1.11,1.17,0.034,13.5,13.8,2.04%,70.27%,0.7
597,Fixa,0.0,No_fuzzy,L1,1.22,1.25,1.27,0.012,14.3,14.3,0.00%,87.53%,2.24
598,ToU,1.0,Fuzzy,L2,0.928,1.01,1.11,0.049,13.7,13.8,0.71%,93.39%,0.745
599,Fixa,0.0,No_fuzzy,L2,1.17,1.22,1.27,0.028,12.7,12.7,-0.00%,78.55%,0.826
600,Fixa,0.0,No_fuzzy,L3,1.18,1.23,1.26,0.02,12.7,12.7,-0.00%,80.03%,0.768
601,Fixa,0.0,No_fuzzy,L3,1.18,1.23,1.26,0.017,12.7,12.7,-0.00%,79.31%,0.815
602,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0048,12.7,12.7,-0.00%,95.53%,0.569
603,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0043,12.7,12.7,-0.00%,95.74%,0.555
604,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0023,14.3,14.3,0.00%,95.93%,1.76
605,ToU,1.0,Fuzzy,L1,1.02,1.14,1.25,0.065,13.5,15.8,14.49%,94.51%,2.06
606,Fixa,0.0,Fuzzy,L3,1.25,1.27,1.28,0.0057,12.7,12.7,-0.00%,95.50%,0.556
607,ToU,0.75,Fuzzy,L3,1.04,1.09,1.15,0.031,13.3,13.8,3.32%,94.22%,0.767
608,ToU,0.25,Fuzzy,L2,1.19,1.21,1.23,0.014,13.2,13.8,3.92%,93.91%,0.665
609,ToU,0.75,Fuzzy,L1,1.09,1.17,1.25,0.045,13.7,15.8,13.22%,94.52%,2.47
610,ToU,0.75,No_fuzzy,L2,1.01,1.07,1.14,0.039,13.4,13.8,2.58%,71.85%,0.8
611,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0053,12.7,12.7,-0.00%,94.95%,0.568
612,Fixa,0.0,No_fuzzy,L2,1.14,1.23,1.26,0.025,12.7,12.7,-0.00%,79.59%,0.858
613,ToU,0.5,Fuzzy,L2,1.1,1.15,1.19,0.029,13.2,13.8,4.07%,93.92%,0.691
614,Fixa,0.0,Fuzzy,L1,1.26,1.27,1.28,0.0038,14.3,14.3,0.00%,95.55%,1.88
615,ToU,1.0,No_fuzzy,L3,0.893,1.04,1.11,0.052,13.2,13.8,3.86%,72.45%,0.62
616,ToU,0.75,Fuzzy,L3,0.99,1.09,1.15,0.045,13.3,13.8,3.53%,94.07%,0.711
617,Fixa,0.0,Fuzzy,L2,1.25,1.27,1.28,0.0062,12.7,12.7,-0.00%,94.84%,0.545
618,Fixa,0.0,No_fuzzy,L1,1.22,1.25,1.27,0.011,14.3,14.3,0.00%,87.54%,2.52
619,ToU,1.0,No_fuzzy,L2,0.92,1.03,1.11,0.053,13.3,13.8,3.17%,72.49%,0.515
620,Fixa,0.0,No_fuzzy,L1,1.22,1.25,1.26,0.011,14.3,14.3,0.00%,86.59%,2.53
621,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0051,12.7,12.7,-0.00%,94.97%,0.569
622,ToU,1.0,Fuzzy,L2,0.9,1.03,1.11,0.061,13.4,13.8,2.68%,93.81%,0.675
623,Fixa,0.0,No_fuzzy,L1,1.23,1.25,1.27,0.0083,14.3,14.3,0.00%,87.95%,2.29
624,ToU,0.0,No_fuzzy,L2,1.18,1.22,1.27,0.021,13.9,13.8,-1.09%,77.88%,0.854
625,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0032,14.3,14.3,0.00%,95.71%,1.93
626,Fixa,0.0,No_fuzzy,L1,1.21,1.25,1.27,0.012,14.3,14.3,0.00%,86.34%,2.21
627,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.005,12.7,12.7,-0.00%,95.37%,0.529
628,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0032,14.3,14.3,0.00%,95.56%,1.73
629,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0032,14.3,14.3,0.00%,95.60%,1.73
630,ToU,0.75,No_fuzzy,L2,0.992,1.09,1.14,0.043,13.2,13.8,4.49%,72.11%,0.759
631,ToU,0.0,Fuzzy,L2,1.25,1.27,1.28,0.0057,14.2,13.8,-3.47%,95.03%,0.506
632,ToU,0.25,Fuzzy,L3,1.18,1.21,1.23,0.014,13.3,13.8,3.59%,93.85%,0.705
633,ToU,0.0,No_fuzzy,L1,1.23,1.25,1.26,0.0094,14.9,15.8,5.36%,87.07%,2.17
634,ToU,1.0,No_fuzzy,L3,0.882,1.05,1.11,0.056,13.1,13.8,4.94%,72.02%,0.61
635,Fixa,0.0,No_fuzzy,L3,1.17,1.23,1.26,0.023,12.7,12.7,-0.00%,79.15%,0.813
636,ToU,0.5,Fuzzy,L1,1.11,1.2,1.25,0.028,13.8,15.8,12.17%,94.64%,2.41
637,ToU,0.0,No_fuzzy,L3,1.14,1.23,1.26,0.025,13.8,13.8,-0.31%,78.78%,0.722
638,Fixa,0.0,No_fuzzy,L1,1.23,1.25,1.27,0.0087,14.3,14.3,0.00%,86.65%,2.02
639,Fixa,0.0,Fuzzy,L3,1.25,1.27,1.28,0.0067,12.7,12.7,-0.00%,95.23%,0.56
640,ToU,0.5,No_fuzzy,L1,1.13,1.19,1.25,0.034,13.5,15.8,14.34%,81.37%,2.33
641,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0054,12.7,12.7,-0.00%,95.69%,0.514
642,Fixa,0.0,No_fuzzy,L1,1.22,1.25,1.27,0.012,14.3,14.3,0.00%,86.05%,2.05
643,ToU,0.0,No_fuzzy,L3,1.17,1.23,1.26,0.021,14.2,13.8,-3.21%,79.63%,0.795
644,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.006,12.7,12.7,-0.00%,95.13%,0.473
645,ToU,0.0,No_fuzzy,L1,1.22,1.25,1.26,0.011,14.8,15.8,6.11%,85.84%,2.35
646,ToU,0.25,No_fuzzy,L2,1.12,1.18,1.21,0.024,13.1,13.8,4.70%,77.67%,0.695
647,Fixa,0.0,No_fuzzy,L2,1.16,1.22,1.26,0.025,12.7,12.7,-0.00%,76.50%,0.739
648,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0035,14.3,14.3,0.00%,95.58%,1.99
649,Fixa,0.0,No_fuzzy,L3,1.16,1.23,1.26,0.023,12.7,12.7,-0.00%,80.23%,0.781
650,ToU,0.0,No_fuzzy,L3,1.14,1.22,1.26,0.028,14.0,13.8,-1.85%,75.97%,0.83
651,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0055,12.7,12.7,-0.00%,95.13%,0.555
652,Fixa,0.0,No_fuzzy,L3,1.17,1.22,1.26,0.023,12.7,12.7,-0.00%,78.61%,0.857
653,Fixa,0.0,No_fuzzy,L2,1.16,1.23,1.26,0.022,12.7,12.7,-0.00%,79.65%,0.763
654,Fixa,0.0,No_fuzzy,L1,1.22,1.25,1.27,0.011,14.3,14.3,0.00%,86.83%,2.4
655,ToU,0.75,No_fuzzy,L2,0.999,1.08,1.14,0.04,13.2,13.8,4.23%,70.61%,0.788
656,ToU,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0057,14.2,13.8,-2.96%,95.12%,0.559
657,ToU,1.0,Fuzzy,L3,0.936,1.03,1.11,0.044,13.4,13.8,2.94%,93.31%,0.646
658,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0053,12.7,12.7,-0.00%,95.14%,0.539
659,ToU,0.0,Fuzzy,L2,1.26,1.27,1.28,0.005,14.3,13.8,-4.05%,95.15%,0.598
660,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0062,12.7,12.7,-0.00%,94.87%,0.488
661,ToU,0.5,Fuzzy,L1,1.14,1.2,1.26,0.031,13.6,15.8,13.50%,94.53%,2.5
662,ToU,1.0,Fuzzy,L2,0.866,1.03,1.11,0.053,13.4,13.8,3.00%,93.78%,0.682
663,Fixa,0.0,No_fuzzy,L2,1.15,1.22,1.26,0.028,12.7,12.7,-0.00%,77.53%,0.83
664,ToU,1.0,Fuzzy,L1,0.974,1.15,1.26,0.075,13.4,15.8,15.06%,94.59%,2.17
665,ToU,0.75,No_fuzzy,L1,1.06,1.17,1.24,0.041,13.4,15.8,15.14%,83.13%,2.42
666,ToU,0.5,Fuzzy,L1,1.17,1.21,1.25,0.022,13.4,15.8,15.24%,94.65%,2.42
667,Fixa,0.0,No_fuzzy,L2,1.17,1.22,1.26,0.022,12.7,12.7,-0.00%,78.57%,0.757
668,ToU,0.0,Fuzzy,L1,1.26,1.27,1.28,0.0033,15.1,15.8,4.42%,95.35%,1.83
669,ToU,0.0,Fuzzy,L2,1.25,1.27,1.28,0.0067,14.2,13.8,-3.15%,94.75%,0.588
670,Fixa,0.0,No_fuzzy,L2,1.15,1.22,1.26,0.029,12.7,12.7,-0.00%,76.95%,0.754
671,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0048,12.7,12.7,-0.00%,95.37%,0.529
672,Fixa,0.0,No_fuzzy,L2,1.16,1.23,1.26,0.024,12.7,12.7,-0.00%,79.10%,0.878
673,Fixa,0.0,No_fuzzy,L3,1.15,1.22,1.26,0.026,12.7,12.7,-0.00%,77.06%,0.932
674,ToU,0.5,Fuzzy,L2,1.09,1.16,1.19,0.027,13.2,13.8,4.42%,94.19%,0.557
675,Fixa,0.0,Fuzzy,L1,1.27,1.27,1.28,0.0025,14.3,14.3,0.00%,95.81%,2.05
676,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0052,12.7,12.7,-0.00%,95.45%,0.504
677,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0055,12.7,12.7,-0.00%,95.29%,0.484
678,ToU,0.75,Fuzzy,L3,0.977,1.1,1.15,0.042,13.2,13.8,3.95%,94.36%,0.553
679,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0055,12.7,12.7,-0.00%,95.47%,0.589
680,ToU,1.0,Fuzzy,L2,0.914,1.04,1.11,0.054,13.3,13.8,3.60%,93.54%,0.636
681,Fixa,0.0,No_fuzzy,L1,1.22,1.25,1.27,0.011,14.3,14.3,0.00%,87.13%,2.31
682,ToU,1.0,Fuzzy,L1,0.99,1.13,1.2,0.055,13.8,15.8,12.65%,94.26%,2.46
683,Fixa,0.0,No_fuzzy,L2,1.18,1.22,1.25,0.02,12.7,12.7,-0.00%,78.19%,0.863
684,ToU,0.25,Fuzzy,L3,1.19,1.21,1.24,0.013,13.2,13.8,3.78%,94.27%,0.668
685,ToU,0.0,No_fuzzy,L3,1.18,1.23,1.27,0.02,14.2,13.8,-3.21%,79.85%,0.847
686,Fixa,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0054,12.7,12.7,-0.00%,95.00%,0.58
687,ToU,0.0,Fuzzy,L3,1.25,1.27,1.28,0.0054,14.1,13.8,-2.04%,94.75%,0.528
688,Fixa,0.0,No_fuzzy,L2,1.15,1.22,1.26,0.031,12.7,12.7,-0.00%,76.05%,0.873
689,Fixa,0.0,No_fuzzy,L2,1.17,1.22,1.25,0.019,12.7,12.7,-0.00%,78.16%,0.811
690,ToU,0.75,No_fuzzy,L1,1.07,1.16,1.23,0.041,13.6,15.8,13.96%,82.20%,2.34
691,Fixa,0.0,No_fuzzy,L3,1.15,1.22,1.27,0.028,12.7,12.7,-0.00%,77.96%,0.884
692,ToU,0.0,Fuzzy,L2,1.26,1.27,1.28,0.006,14.2,13.8,-2.99%,94.95%,0.571
693,ToU,0.25,No_fuzzy,L3,1.11,1.17,1.21,0.023,13.2,13.8,3.94%,76.69%,0.751
694,ToU,0.0,Fuzzy,L2,1.26,1.27,1.28,0.0056,14.1,13.8,-2.72%,95.39%,0.557
695,ToU,0.75,No_fuzzy,L1,1.06,1.16,1.23,0.041,13.7,15.8,13.31%,83.49%,2.4
696,Fixa,0.0,Fuzzy,L3,1.26,1.27,1.28,0.0052,12.7,12.7,-0.00%,95.45%,0.483
697,Fixa,0.0,No_fuzzy,L1,1.21,1.25,1.26,0.013,14.3,14.3,0.00%,86.39%,2.27
698,ToU,0.25,Fuzzy,L2,1.18,1.21,1.24,0.019,13.3,13.8,3.31%,93.98%,0.634
699,ToU,0.75,Fuzzy,L1,1.11,1.19,1.26,0.042,13.3,15.8,15.87%,94.36%,2.63
