Unnamed: 0,casa,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,consumo,custo_med,target,conf_med %,t_med,temp,umidade,humor,omega,rel_alt
2022-07-14 15:08:45,78,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.73,4.04,0.96,0.0954,9.2,94.6,6.3,0.16,0
2022-07-14 15:08:46,79,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,13.2,13.8,0.7,0.75,2.6,6.4,4.0,0.18,0
2022-07-14 15:08:47,80,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.73,4.04,0.96,0.0981,0.9,54.3,9.8,0.16,0
2022-07-14 15:08:48,81,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,13.2,13.8,0.7,0.758,23.7,64.4,6.6,0.37,0
2022-07-14 15:08:49,82,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.73,4.04,0.96,0.101,21.6,68.1,0.1,0.63,0
2022-07-14 15:08:50,83,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,13.2,13.8,0.7,0.754,2.6,45.2,4.6,0.16,0
2022-07-14 15:08:51,84,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.73,4.04,0.96,0.105,13.3,94.4,4.4,0.32,0
2022-07-14 15:08:52,85,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,13.2,13.8,0.7,0.764,4.9,55.6,1.1,0.16,0
2022-07-14 15:08:53,86,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.73,4.04,0.96,0.103,33.9,93.9,5.1,0.83,0
2022-07-14 15:08:54,87,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,13.2,13.8,0.7,0.764,18.9,95.3,4.4,0.35,0
2022-07-14 15:08:55,88,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.73,4.04,0.96,0.1,11.6,78.5,3.1,0.23,0
2022-07-14 15:08:56,89,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,13.2,13.8,0.7,0.77,12.0,60.9,2.0,0.24,0
2022-07-14 15:08:57,90,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.73,4.04,0.96,0.0967,21.7,32.1,7.9,0.22,0
2022-07-14 15:08:58,91,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,13.2,13.8,0.7,0.736,6.5,7.5,2.9,0.16,0
2022-07-14 15:08:59,92,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.73,4.04,0.96,0.0982,36.6,48.4,1.3,0.84,0
2022-07-14 15:09:00,93,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,13.2,13.8,0.7,0.77,0.6,46.2,6.7,0.17,0
2022-07-14 15:09:01,94,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.73,4.04,0.96,0.102,0.6,35.1,8.3,0.16,0
2022-07-14 15:09:02,95,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,13.2,13.8,0.7,0.758,6.6,72.4,4.6,0.16,0
2022-07-14 15:09:03,96,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.73,4.04,0.96,0.0988,10.4,19.0,8.1,0.16,0
2022-07-14 15:09:04,97,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,13.2,13.8,0.7,0.758,4.6,99.7,0.1,0.16,0
2022-07-14 15:09:05,98,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,0.018,4.86,3.73,4.04,0.96,0.0995,21.2,73.9,8.2,0.18,0
2022-07-14 15:09:06,99,ToU,0.75,No_fuzzy,Padrão B,0.994,1.08,1.14,0.033,14.5,13.2,13.8,0.7,0.737,34.9,42.7,8.6,0.5,0
