Unnamed: 0,casa,tarifa,alfa,conf_tip,cargas,fit_min,fit_med,fit_max,std_dev,consumo,custo_med,target,conf_med %,t_med,temp,umidade,humor,omega,rel_alt
2023-02-22,56,ToU,0.0,No_fuzzy,Padrão C,1.27,1.28,1.28,0.0021,4.86,3.99,4.04,0.98,0.0695,23.9,10.5,7.3,0.33,0
2023-02-22,57,ToU,0.25,Fuzzy,Padrão B,1.15,1.19,1.22,21.0,14.5,13.2,13.8,0.84,0.89,34.9,76.9,8.8,0.62,1
2023-02-22,58,ToU,0.0,Fuzzy,Padrão C,1.27,1.28,1.28,0.0025,4.86,3.99,4.04,0.97,109.0,27.7,83.9,1.8,0.63,1
2023-02-22,59,ToU,0.75,No_fuzzy,Padrão A,1.07,1.17,1.25,47.0,16.4,13.5,15.8,0.82,3.14,30.7,17.0,4.7,0.56,0
2023-02-22,60,ToU,0.75,Fuzzy,Padrão B,1.01,1.1,1.15,42.0,14.5,13.2,13.8,0.93,0.78,8.9,4.4,7.2,0.17,1
2023-02-22,61,ToU,0.75,Fuzzy,Padrão C,1.07,1.13,1.15,29.0,4.86,3.72,4.04,0.96,0.12,40.1,79.1,8.7,0.68,1
2023-02-22,62,ToU,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,15.1,15.8,0.87,2.87,14.0,45.3,5.6,0.18,0
2023-02-22,63,ToU,0.5,Fuzzy,Padrão A,1.14,1.19,1.25,27.0,16.4,13.6,15.8,0.89,3.2,37.4,2.1,8.8,0.5,1
2023-02-22,64,ToU,0.25,Fuzzy,Padrão C,1.21,1.23,1.24,0.0068,4.86,3.69,4.04,0.96,0.0967,40.0,84.2,4.7,0.84,1
2023-02-22,65,ToU,1.0,Fuzzy,Padrão B,925.0,1.03,1.11,57.0,14.5,13.3,13.8,0.94,835.0,21.3,9.5,8.9,0.18,1
2023-02-22,66,ToU,1.0,Fuzzy,Padrão A,1.07,1.15,1.24,0.05,16.4,13.3,15.8,0.89,2.71,25.3,50.6,6.7,0.42,1
2023-02-22,67,ToU,0.25,No_fuzzy,Padrão C,1.21,1.22,1.23,0.0077,4.86,3.74,4.04,0.96,103.0,34.4,62.4,6.5,0.65,0
2023-02-22,68,ToU,1.0,No_fuzzy,Padrão C,988.0,1.07,1.11,41.0,4.86,3.74,4.04,0.96,0.0914,39.9,9.7,9.1,0.5,0
2023-02-22,69,ToU,0.5,Fuzzy,Padrão B,1.1,1.16,1.19,24.0,14.5,13.2,13.8,0.95,767.0,19.1,47.8,8.3,0.16,1
2023-02-22,70,ToU,0.0,No_fuzzy,Padrão A,1.23,1.25,1.26,0.0091,16.4,15.1,15.8,0.87,2.62,29.2,75.5,0.1,0.62,0
2023-02-22,71,ToU,0.5,Fuzzy,Padrão A,1.15,1.2,1.24,26.0,16.4,13.4,15.8,0.87,2.51,29.3,25.1,0.7,0.62,1
2023-02-22,72,ToU,1.0,Fuzzy,Padrão B,925.0,1.03,1.11,57.0,14.5,13.3,13.8,0.94,756.0,8.2,32.2,7.4,0.17,1
2023-02-22,73,ToU,1.0,Fuzzy,Padrão A,1.07,1.15,1.24,0.05,16.4,13.3,15.8,0.94,2.29,22.3,50.7,9.3,0.17,1
2023-02-22,74,ToU,0.25,No_fuzzy,Padrão C,1.21,1.22,1.23,0.0077,4.86,3.74,4.04,0.96,0.0901,4.0,47.0,8.3,0.16,0
2023-02-22,75,ToU,1.0,No_fuzzy,Padrão C,988.0,1.07,1.11,41.0,4.86,3.74,4.04,0.96,0.0849,13.0,21.1,0.7,0.3,0
2023-02-22,76,ToU,0.5,Fuzzy,Padrão B,1.06,1.13,1.18,35.0,14.5,13.2,13.8,0.76,652.0,31.5,11.6,3.5,0.71,1
2023-02-22,77,ToU,0.25,Fuzzy,Padrão B,1.18,1.21,1.23,15.0,14.5,13.3,13.8,0.95,609.0,11.6,72.1,8.6,0.16,1
2023-02-22,78,ToU,0.5,Fuzzy,Padrão A,1.16,1.2,1.25,24.0,16.4,13.6,15.8,0.95,2.49,0.1,83.8,9.7,0.16,1
2023-02-22,79,ToU,0.0,Fuzzy,Padrão A,1.27,1.27,1.28,0.0027,16.4,15.2,15.8,0.96,1.75,1.1,0.8,4.3,0.17,1
2023-02-22,80,ToU,0.75,No_fuzzy,Padrão B,994.0,1.08,1.14,33.0,14.5,13.2,13.8,0.7,695.0,38.4,22.1,1.2,0.84,0
2023-02-22,81,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,18.0,4.86,3.73,4.04,0.96,0.0928,34.4,69.8,6.0,0.83,0
2023-02-22,82,ToU,0.75,No_fuzzy,Padrão B,994.0,1.08,1.14,33.0,14.5,13.2,13.8,0.7,0.7,19.4,53.1,1.1,0.54,0
2023-02-22,83,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,18.0,4.86,3.73,4.04,0.96,0.0913,14.1,77.4,3.1,0.37,0
2023-02-22,84,ToU,0.75,No_fuzzy,Padrão B,994.0,1.08,1.14,33.0,14.5,13.2,13.8,0.7,704.0,5.0,62.5,4.2,0.17,0
2023-02-22,85,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,18.0,4.86,3.73,4.04,0.96,0.0912,40.9,26.3,0.6,0.84,0
2023-02-22,86,ToU,0.75,No_fuzzy,Padrão B,994.0,1.08,1.14,33.0,14.5,13.2,13.8,0.7,697.0,12.6,14.6,3.6,0.28,0
2023-02-22,87,ToU,0.5,No_fuzzy,Padrão C,1.13,1.18,1.19,18.0,4.86,3.73,4.04,0.96,0.0931,40.1,1.0,0.8,0.84,0
2023-02-22,88,ToU,0.75,No_fuzzy,Padrão B,994.0,1.08,1.14,33.0,14.5,13.2,13.8,0.7,717.0,37.2,9.4,2.9,0.84,0
